BROWARD,ROYAL PALM ELEMENTARY SCHOOL,79,26,100,NO,YES,N,98,96,"1951 NW 56TH AVE LAUDERHILL, FL 33313-4059",26.151514,-80.225967,31
BROWARD,SOMERSET ACADEMY HOLLYWOOD,61,31,100,YES,YES,N,86,77,"2000 S. STATE ROAD 7 MIRAMAR, FL 33023-6740",25.992569,-80.208022,32
BROWARD,SOMERSET ACADEMY POMPANO MIDDLE (6-8),43,22,100,YES,YES,N,88,83,"3311 N ANDREWS AVE EXT POMPANO BEACH, FL 33064",26.272802,-80.138648,33
BROWARD,SUNLAND PARK ACADEMY,47,24,99,NO,YES,N,99,97,"919 NW 13TH TER FORT LAUDERDALE, FL 33311-7006",26.135838,-80.159594,34
BROWARD,THURGOOD MARSHALL ELEMENTARY SCHOOL,90,30,98,NO,YES,N,98,98,"800 NW 13TH ST FORT LAUDERDALE, FL 33311-6069",26.140892,-80.152954,35
BROWARD,VILLAGE ELEMENTARY SCHOOL,92,31,99,NO,YES,N,98,94,"2100 NW 70TH AVE SUNRISE, FL 33313-3843",26.153037,-80.240383,36
BROWARD,WALKER ELEMENTARY SCHOOL (MAGNET),49,16,99,NO,YES,N,99,96,"1001 NW 4TH ST FORT LAUDERDALE, FL 33311-8935",26.12669,-80.155863,37
BROWARD,WESTWOOD HEIGHTS ELEMENTARY SCHOOL,72,24,99,NO,YES,N,99,96,"2861 SW 9TH ST FORT LAUDERDALE, FL 33312-2959",26.111269,-80.182538,38
CLAY,FLORIDA YOUTH CHALLENGE ACADEMY,0,0,N/A,NO,NO,N,43,2,"5629 STATE ROAD 16 W BLDG 3800 STARKE, FL 32091-9792",29.980331,-81.984824,39
COLLIER,HIGHLANDS ELEMENTARY SCHOOL,91,30,99,NO,YES,N,97,96,"1101 LAKE TRAFFORD RD IMMOKALEE, FL 34142-2940",26.431716,-81.428744,40
COLLIER,PINECREST ELEMENTARY SCHOOL,70,23,99,NO,YES,N,100,100,"313 S 9TH ST IMMOKALEE, FL 34142-4015",26.4134,-81.426793,41
DADE,ALPHA CHARTER OF EXCELLENCE,88,29,100,YES,YES,N,99,80,"1223 SW FOURTH ST MIAMI, FL 33135-2407",25.769749,-80.215021,42
DADE,ARCOLA LAKE ELEMENTARY SCHOOL,86,29,99,NO,YES,N,98,97,"1037 NW 81ST ST MIAMI, FL 33150-2738",25.849668,-80.214252,43
DADE,BROWNSVILLE MIDDLE SCHOOL,124,25,97,NO,YES,N,100,95,"4899 NW 24TH AVE MIAMI, FL 33142-3620",25.819449,-80.235542,44
DADE,CAROL CITY MIDDLE SCHOOL,106,21,98,NO,YES,N,100,95,"3737 NW 188TH ST MIAMI GARDENS, FL 33055-2856",25.944748,-80.262325,45
DADE,CITRUS GROVE MIDDLE SCHOOL,151,30,98,NO,YES,N,99,94,"2153 NW 3RD ST MIAMI, FL 33125-5331",25.777553,-80.230192,46
DADE,DR. ROBERT B. INGRAM/OPA-LOCKA ELEMENTARY SCHOOL,66,22,100,NO,YES,N,99,100,"600 AHMAD ST OPA LOCKA, FL 33054-3602",25.90428,-80.248151,47
DADE,EARLINGTON HEIGHTS ELEMENTARY SCHOOL,78,26,99,NO,YES,N,100,99,"4750 NW 22ND AVE MIAMI, FL 33142-4015",25.818126,-80.233163,48
DADE,EXCELSIOR CHARTER ACADEMY,137,27,99,YES,YES,N,100,94,"18200 NW 22ND AVE MIAMI GARDENS, FL 33056-3747",25.940012,-80.237804,49
DADE,EXCELSIOR LANGUAGE ACADEMY OF HIALEAH,76,19,99,YES,YES,N,99,48,"369 E 10TH ST HIALEAH, FL 33010-4131",25.83134,-80.274222,50
DADE,GOLDEN GLADES ELEMENTARY SCHOOL,94,31,100,NO,YES,N,100,97,"16520 NW 28TH AVE OPA LOCKA, FL 33054-6458",25.925153,-80.247663,51
DADE,HOLMES ELEMENTARY SCHOOL,73,24,100,NO,YES,N,100,99,"1175 NW 67TH ST MIAMI, FL 33150-4145",25.836377,-80.215912,52
DADE,"JESSE J. MCCRARY, JR. ELEMENTARY SCHOOL",94,31,100,NO,YES,N,99,96,"514 NW 77TH ST MIAMI, FL 33150-2853",25.844581,-80.205468,53
DADE,JOSE DE DIEGO MIDDLE SCHOOL,105,21,96,NO,YES,N,99,92,"3100 NW 5TH AVE MIAMI, FL 33127-3729",25.805792,-80.203627,54
DADE,LAURA C. SAUNDERS ELEMENTARY SCHOOL,85,28,100,NO,YES,N,98,100,"505 SW 8TH ST HOMESTEAD, FL 33030-7163",25.462685,-80.483998,55
DADE,LIBERTY CITY ELEMENTARY SCHOOL,93,31,99,NO,YES,N,100,97,"1855 NW 71ST ST MIAMI, FL 33147-6334",25.839432,-80.228215,56
DADE,NORTH DADE MIDDLE SCHOOL,149,30,98,NO,YES,N,99,93,"1840 NW 157 ST MIAMI GARDENS, FL 33054-2122",25.916616,-80.23117,57
DADE,REDLAND MIDDLE SCHOOL,152,30,99,NO,YES,N,93,92,"16001 SW 248TH ST HOMESTEAD, FL 33031-2071",25.537222,-80.452142,58
DADE,SHADOWLAWN ELEMENTARY SCHOOL,92,31,100,NO,YES,N,99,95,"149 NW 49TH ST MIAMI, FL 33127-2108",25.821301,-80.198798,59
